detection_row_1_based,image,label,confidence,assessment,note_en
4,1P9A1048.JPG,computer monitor,0.7697843313217163,correct_example,Correctly boxes a computer monitor.
17,1P9A1048.JPG,desktop computer tower,0.435170978307724,correct_example,Correctly boxes the desktop computer tower.
22,1P9A1048.JPG,computer keyboard,0.2982535660266876,wrong_label,The digital piano is labelled computer keyboard; no digital piano prediction was returned.
15,1P9A1048.JPG,insulated water bottle,0.527458906173706,wrong_label,The humidifier is labelled insulated water bottle.
11,1P9A1048.JPG,shopping bag,0.631257176399231,wrong_label,The tissue box is labelled shopping bag.
7,1P9A1048.JPG,electric kettle,0.6947447657585144,wrong_label,The handled insulated bottle on the left is labelled electric kettle.
14,1P9A1048.JPG,office chair,0.5475309491157532,wrong_label,The black exercise-equipment region at the bottom is labelled office chair.
16,1P9A1048.JPG,paper towel roll,0.4561334550380707,wrong_label,The chair arm and background region are labelled paper towel roll.
25,1P9A1049.JPG,faucet,0.9465107917785645,correct_example,Correctly boxes the faucet.
26,1P9A1049.JPG,electric kettle,0.9222343564033508,correct_example,Correctly boxes the electric kettle.
28,1P9A1049.JPG,cooking pot,0.8418874144554138,correct_example,"Boxes the metal pot on the stove, with a partly overlapping frying pan prediction."
34,1P9A1049.JPG,oven,0.7795721292495728,wrong_label,The dishwasher is labelled oven.
41,1P9A1049.JPG,cooking pot,0.591076135635376,partial_object,The rice-cooker inner pot is labelled cooking pot; the complete rice cooker is not recognized.
38,1P9A1049.JPG,bowl,0.6705010533332825,wrong_label,The covered cooking pot on the stove is labelled bowl.
53,1P9A1049.JPG,bowl,0.37674853205680847,wrong_label,The bamboo steamer is labelled bowl.
59,1P9A1049.JPG,sink,0.2737795114517212,duplicate_example,A second overlapping box for the same sink.
60,1P9A1049.JPG,cutting board,0.25227609276771545,wrong_label,The towel at the front edge of the sink is labelled cutting board; the upright cutting board is missed.
